FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
20/01/2019 12:00:02 AM;19/01/2019 10:30:04 PM;4560114;Cor 2 Azul;L27;Vuelta
20/01/2019 12:00:07 AM;20/01/2019 12:00:03 AM;2526400;TROLE;A;Ida
20/01/2019 12:00:07 AM;19/01/2019 06:41:19 PM;4810096;Cor 3 Rojo;L32;Vuelta
20/01/2019 12:00:08 AM;19/01/2019 11:59:22 PM;5101652;Cor 2 Azul;L27;Ida
20/01/2019 12:00:12 AM;19/01/2019 11:55:18 PM;5126335;Cor 6 Naranja;L60;Ida
20/01/2019 12:00:14 AM;19/01/2019 11:55:18 PM;2208723;Cor 6 Naranja;L60;Ida
20/01/2019 12:00:15 AM;20/01/2019 12:00:03 AM;4097125;Cor 6 Naranja;L62;Ida
20/01/2019 12:00:19 AM;19/01/2019 10:36:28 PM;4896816;Cor 6 Naranja;L66;Vuelta
20/01/2019 12:00:22 AM;19/01/2019 11:43:38 PM;5323460;Cor 5 Amarillo;L51;Ida
20/01/2019 12:00:35 AM;19/01/2019 11:31:43 PM;5873908;Cor 7 Azul;L70;Ida
20/01/2019 12:00:40 AM;19/01/2019 11:27:35 PM;5798224;Cor 4 Amarillo;L43;Vuelta
20/01/2019 12:00:43 AM;19/01/2019 10:37:09 PM;4221137;Cor 2 Azul;L25;Vuelta
20/01/2019 12:00:45 AM;19/01/2019 11:47:46 PM;5218562;Cor 7 Azul;L71;Ida
20/01/2019 12:00:49 AM;19/01/2019 10:40:52 PM;5478776;Cor 5 Amarillo;L50;Vuelta
20/01/2019 12:00:52 AM;19/01/2019 10:37:09 PM;5948607;Cor 2 Azul;L25;Vuelta
20/01/2019 12:00:54 AM;19/01/2019 10:43:42 PM;6048445;Cor 7 Azul;L75;Vuelta
20/01/2019 12:00:58 AM;19/01/2019 11:59:22 PM;5145261;Cor 2 Azul;L27;Ida
20/01/2019 12:00:58 AM;19/01/2019 10:28:00 PM;5640119;Cor 7 Azul;L70;Vuelta
20/01/2019 12:01:07 AM;19/01/2019 11:54:08 PM;8008639;Cor 7 Azul;L75;Ida
20/01/2019 12:01:12 AM;19/01/2019 10:32:02 PM;5914224;Cor 2 Azul;L28;Vuelta
20/01/2019 12:01:14 AM;19/01/2019 10:32:02 PM;3905935;Cor 2 Azul;L28;Vuelta
20/01/2019 12:01:16 AM;19/01/2019 10:40:52 PM;2942662;Cor 5 Amarillo;L50;Vuelta
20/01/2019 12:01:17 AM;19/01/2019 09:59:26 PM;2921184;Cor 1 Naranja;L11;Vuelta
20/01/2019 12:01:17 AM;19/01/2019 10:35:54 PM;5247555;Cor 3 Rojo;L32;Vuelta
20/01/2019 12:01:19 AM;19/01/2019 11:56:49 PM;3170353;Cor 6 Naranja;L68;Ida
20/01/2019 12:01:22 AM;19/01/2019 10:23:44 PM;3092907;Cor 1 Naranja;L15;Vuelta
20/01/2019 12:01:22 AM;19/01/2019 10:26:50 PM;3537779;Cor 1 Naranja;L18;Vuelta
20/01/2019 12:01:23 AM;19/01/2019 11:08:58 PM;5460795;Cor 5 Amarillo;L45;Vuelta
20/01/2019 12:01:24 AM;19/01/2019 10:23:44 PM;3092907;Cor 1 Naranja;L15;Vuelta
20/01/2019 12:01:32 AM;19/01/2019 11:28:34 PM;3051944;Cor 3 Rojo;L35;Ida
20/01/2019 12:01:33 AM;19/01/2019 10:23:44 PM;3092907;Cor 1 Naranja;L15;Vuelta
20/01/2019 12:01:33 AM;19/01/2019 11:23:34 PM;8082947;Cor 1 Naranja;L18;Ida
20/01/2019 12:01:33 AM;19/01/2019 09:38:25 PM;4604984;Cor 1 Naranja;L12;Vuelta
20/01/2019 12:01:35 AM;19/01/2019 11:28:34 PM;4641133;Cor 3 Rojo;L35;Ida
20/01/2019 12:01:35 AM;19/01/2019 11:23:34 PM;5969348;Cor 1 Naranja;L18;Ida
20/01/2019 12:01:37 AM;19/01/2019 11:28:34 PM;3442977;Cor 3 Rojo;L35;Ida
20/01/2019 12:01:39 AM;19/01/2019 10:04:37 PM;4466699;Cor 8 Rojo;L82;Vuelta
20/01/2019 12:01:42 AM;19/01/2019 10:45:10 PM;5652151;Cor 3 Rojo;L36;Vuelta
20/01/2019 12:01:46 AM;19/01/2019 11:01:16 PM;6073138;Cor 3 Rojo;L30;Vuelta
20/01/2019 12:01:47 AM;19/01/2019 09:38:25 PM;8002712;Cor 1 Naranja;L12;Vuelta
20/01/2019 12:01:51 AM;19/01/2019 11:28:34 PM;5317539;Cor 3 Rojo;L35;Ida
20/01/2019 12:01:51 AM;19/01/2019 11:55:09 PM;3420394;Cor 1 Naranja;L17;Ida
20/01/2019 12:01:52 AM;19/01/2019 10:10:15 PM;4119252;Cor 3 Rojo;L36;Vuelta
20/01/2019 12:01:52 AM;19/01/2019 10:26:06 PM;4614733;Cor 1 Naranja;L19;Vuelta
20/01/2019 12:01:53 AM;19/01/2019 10:10:15 PM;4119252;Cor 3 Rojo;L36;Vuelta
20/01/2019 12:01:54 AM;19/01/2019 11:31:44 PM;3580133;Cor 3 Rojo;L31;Ida
20/01/2019 12:02:20 AM;19/01/2019 11:21:12 PM;3792188;Cor 2 Azul;L21;Ida
20/01/2019 12:02:20 AM;19/01/2019 10:36:27 PM;5402247;Cor 6 Naranja;L67;Vuelta
20/01/2019 12:02:21 AM;19/01/2019 10:37:09 PM;3735120;Cor 2 Azul;L25;Vuelta
20/01/2019 12:02:21 AM;20/01/2019 12:00:27 AM;6007318;TROLE;B;Ida
