FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
13/01/2019 12:00:02 AM;12/01/2019 10:39:28 PM;4025012;Cor 2 Azul;L21;Vuelta
13/01/2019 12:00:02 AM;12/01/2019 10:37:08 PM;4930941;Cor 4 Amarillo;L42;Vuelta
13/01/2019 12:00:05 AM;12/01/2019 10:39:28 PM;5236136;Cor 2 Azul;L21;Vuelta
13/01/2019 12:00:07 AM;12/01/2019 10:39:28 PM;2789961;Cor 2 Azul;L21;Vuelta
13/01/2019 12:00:09 AM;12/01/2019 11:51:20 PM;6032616;Cor 4 Amarillo;L40;Ida
13/01/2019 12:00:12 AM;12/01/2019 10:37:08 PM;4599438;Cor 4 Amarillo;L42;Vuelta
13/01/2019 12:00:19 AM;12/01/2019 11:57:15 PM;5633900;Cor 2 Azul;L27;Ida
13/01/2019 12:00:23 AM;12/01/2019 10:08:20 PM;4801578;Cor 8 Rojo;L81;Vuelta
13/01/2019 12:00:25 AM;12/01/2019 10:08:20 PM;4532925;Cor 8 Rojo;L81;Vuelta
13/01/2019 12:00:34 AM;12/01/2019 11:24:35 PM;8001048;Cor 7 Azul;L74;Ida
13/01/2019 12:00:38 AM;12/01/2019 11:30:24 PM;5570659;Cor 3 Rojo;L32;Ida
13/01/2019 12:00:48 AM;12/01/2019 10:10:20 PM;5226701;Cor 8 Rojo;L83;Vuelta
13/01/2019 12:00:54 AM;12/01/2019 11:00:00 PM;5634956;Cor 3 Rojo;L30;Vuelta
13/01/2019 12:01:03 AM;12/01/2019 11:51:33 PM;4168071;Cor 2 Azul;L28;Ida
13/01/2019 12:01:07 AM;12/01/2019 10:48:53 PM;5466249;Cor 7 Azul;L74;Vuelta
13/01/2019 12:01:08 AM;12/01/2019 10:30:29 PM;5504131;Cor 1 Naranja;L18;Vuelta
13/01/2019 12:01:10 AM;12/01/2019 11:26:42 PM;2447863;Cor 7 Azul;L73;Ida
13/01/2019 12:01:11 AM;12/01/2019 10:31:51 PM;6014127;Cor 6 Naranja;L60;Vuelta
13/01/2019 12:01:13 AM;12/01/2019 11:30:52 PM;4957017;Cor 6 Naranja;L65;Ida
13/01/2019 12:01:18 AM;12/01/2019 11:51:20 PM;5403756;Cor 4 Amarillo;L40;Ida
13/01/2019 12:01:19 AM;12/01/2019 11:00:25 PM;4917488;Cor 1 Naranja;L16;Vuelta
13/01/2019 12:01:22 AM;12/01/2019 10:53:35 PM;6181966;Cor 5 Amarillo;L52;Vuelta
13/01/2019 12:01:22 AM;12/01/2019 11:02:36 PM;6192741;Cor 1 Naranja;L12;Ida
13/01/2019 12:01:22 AM;12/01/2019 11:00:25 PM;4917488;Cor 1 Naranja;L16;Vuelta
13/01/2019 12:01:24 AM;12/01/2019 11:00:25 PM;3856094;Cor 1 Naranja;L16;Vuelta
13/01/2019 12:01:28 AM;12/01/2019 11:33:25 PM;5820048;Cor 4 Amarillo;L40;Ida
13/01/2019 12:01:31 AM;12/01/2019 11:51:08 PM;8008639;Cor 5 Amarillo;L45;Ida
13/01/2019 12:01:40 AM;12/01/2019 11:44:00 PM;5865621;Cor 5 Amarillo;L50;Ida
13/01/2019 12:01:42 AM;12/01/2019 11:44:00 PM;5865621;Cor 5 Amarillo;L50;Ida
13/01/2019 12:01:46 AM;13/01/2019 12:01:44 AM;5821218;Cor 7 Azul;L70;Ida
13/01/2019 12:01:49 AM;13/01/2019 12:01:45 AM;5145261;Cor 2 Azul;L21;Ida
13/01/2019 12:01:58 AM;12/01/2019 10:22:13 PM;5523994;Cor 1 Naranja;L15;Vuelta
13/01/2019 12:01:59 AM;12/01/2019 10:15:06 PM;5156202;Cor 5 Amarillo;L53;Vuelta
13/01/2019 12:02:01 AM;12/01/2019 11:00:00 PM;4082972;Cor 3 Rojo;L30;Vuelta
13/01/2019 12:02:02 AM;12/01/2019 10:50:01 PM;4930929;Cor 4 Amarillo;L40;Vuelta
13/01/2019 12:02:03 AM;12/01/2019 10:50:01 PM;4930929;Cor 4 Amarillo;L40;Vuelta
13/01/2019 12:02:04 AM;12/01/2019 11:00:00 PM;4082972;Cor 3 Rojo;L30;Vuelta
13/01/2019 12:02:09 AM;12/01/2019 10:04:54 PM;3916406;Cor 1 Naranja;L14;Vuelta
13/01/2019 12:02:11 AM;12/01/2019 10:04:59 PM;3027624;Cor 3 Rojo;L36;Vuelta
13/01/2019 12:02:12 AM;12/01/2019 11:00:00 PM;5634956;Cor 3 Rojo;L30;Vuelta
13/01/2019 12:02:13 AM;12/01/2019 09:38:52 PM;5973927;Cor 1 Naranja;L12;Vuelta
13/01/2019 12:02:13 AM;12/01/2019 10:22:13 PM;5320831;Cor 1 Naranja;L15;Vuelta
13/01/2019 12:02:15 AM;12/01/2019 11:15:00 PM;5633549;Cor 7 Azul;L75;Vuelta
13/01/2019 12:02:19 AM;13/01/2019 12:00:34 AM;4537332;TROLE;A;Ida
13/01/2019 12:02:21 AM;12/01/2019 11:50:34 PM;5714315;Cor 1 Naranja;L10;Ida
13/01/2019 12:02:24 AM;12/01/2019 11:00:00 PM;5634956;Cor 3 Rojo;L30;Vuelta
13/01/2019 12:02:30 AM;12/01/2019 11:24:01 PM;5694859;Cor 1 Naranja;L10;Ida
