FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
01/01/2019 01:32:43 AM;01/01/2019 01:00:11 AM;4992639;Cor 3 Rojo;L35;Ida
01/01/2019 02:26:11 AM;01/01/2019 01:00:11 AM;5489022;Cor 3 Rojo;L35;Vuelta
01/01/2019 02:26:14 AM;01/01/2019 01:00:11 AM;5489022;Cor 3 Rojo;L35;Vuelta
01/01/2019 02:32:27 AM;01/01/2019 01:59:31 AM;5317539;Cor 1 Naranja;L12;Vuelta
01/01/2019 02:57:48 AM;01/01/2019 01:59:31 AM;4451141;Cor 1 Naranja;L12;Vuelta
01/01/2019 03:03:55 AM;01/01/2019 02:41:18 AM;6002199;Cor 1 Naranja;L14;Ida
01/01/2019 03:23:17 AM;01/01/2019 02:41:18 AM;5668125;Cor 1 Naranja;L14;Ida
01/01/2019 03:50:55 AM;01/01/2019 02:41:18 AM;3841688;Cor 1 Naranja;L14;Vuelta
01/01/2019 03:53:43 AM;01/01/2019 03:45:31 AM;5471666;Cor 1 Naranja;L12;Ida
01/01/2019 03:58:11 AM;01/01/2019 03:45:31 AM;6042419;Cor 1 Naranja;L12;Ida
01/01/2019 04:15:42 AM;01/01/2019 02:41:18 AM;4967920;Cor 1 Naranja;L14;Vuelta
01/01/2019 04:25:14 AM;01/01/2019 04:12:20 AM;5692914;Cor 8 Rojo;L84;Ida
01/01/2019 04:25:19 AM;01/01/2019 04:12:20 AM;5692914;Cor 8 Rojo;L84;Ida
01/01/2019 04:32:58 AM;01/01/2019 03:16:14 AM;6090164;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:33:01 AM;01/01/2019 03:16:14 AM;6090164;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:36:21 AM;01/01/2019 04:10:43 AM;5603628;Cor 3 Rojo;L35;Ida
01/01/2019 04:40:51 AM;01/01/2019 03:16:14 AM;5915039;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:41:24 AM;01/01/2019 04:10:43 AM;3466339;Cor 3 Rojo;L35;Ida
01/01/2019 04:42:25 AM;01/01/2019 03:16:14 AM;3368538;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:43:07 AM;01/01/2019 03:16:14 AM;5915039;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:47:07 AM;01/01/2019 04:31:57 AM;3501239;Cor 5 Amarillo;L54;Ida
01/01/2019 04:51:36 AM;01/01/2019 03:16:14 AM;6036388;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:51:40 AM;01/01/2019 03:16:14 AM;6036388;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:51:55 AM;01/01/2019 03:16:14 AM;6036388;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:52:05 AM;01/01/2019 04:01:36 AM;2065472;Cor 3 Rojo;L33;Vuelta
01/01/2019 04:52:08 AM;01/01/2019 04:01:36 AM;2065472;Cor 3 Rojo;L33;Vuelta
01/01/2019 04:52:51 AM;01/01/2019 04:44:09 AM;4172230;Cor 1 Naranja;L15;Vuelta
01/01/2019 04:52:53 AM;01/01/2019 04:44:09 AM;4172230;Cor 1 Naranja;L15;Vuelta
01/01/2019 04:53:25 AM;01/01/2019 03:16:14 AM;4465446;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:53:27 AM;01/01/2019 03:16:14 AM;4465446;Cor 1 Naranja;L10;Vuelta
01/01/2019 04:57:50 AM;01/01/2019 04:06:46 AM;2275250;Cor 4 Amarillo;L41;Vuelta
01/01/2019 05:01:24 AM;01/01/2019 05:00:52 AM;4272166;Cor 2 Azul;L20;Ida
01/01/2019 05:02:11 AM;01/01/2019 04:10:46 AM;3976362;Cor 3 Rojo;L31;Vuelta
01/01/2019 05:02:37 AM;01/01/2019 04:00:50 AM;3008115;Cor 7 Azul;L70;Vuelta
