FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
06/01/2019 12:00:04 AM;05/01/2019 11:45:44 PM;5631677;Cor 2 Azul;L26;Ida
06/01/2019 12:00:06 AM;05/01/2019 11:45:44 PM;5631677;Cor 2 Azul;L26;Ida
06/01/2019 12:00:07 AM;05/01/2019 11:44:23 PM;4108733;Cor 5 Amarillo;L50;Ida
06/01/2019 12:00:08 AM;05/01/2019 11:45:44 PM;5631677;Cor 2 Azul;L26;Ida
06/01/2019 12:00:09 AM;05/01/2019 11:25:18 PM;4942592;Cor 7 Azul;L73;Ida
06/01/2019 12:00:10 AM;05/01/2019 11:45:44 PM;5631677;Cor 2 Azul;L26;Ida
06/01/2019 12:00:11 AM;05/01/2019 11:45:44 PM;5631677;Cor 2 Azul;L26;Ida
06/01/2019 12:00:11 AM;05/01/2019 11:25:18 PM;4347662;Cor 7 Azul;L73;Ida
06/01/2019 12:00:15 AM;05/01/2019 09:45:26 PM;5586962;Cor 1 Naranja;L15;Vuelta
06/01/2019 12:00:16 AM;05/01/2019 10:39:58 PM;3940429;Cor 6 Naranja;L65;Vuelta
06/01/2019 12:00:17 AM;05/01/2019 10:40:03 PM;2932801;Cor 1 Naranja;L11;Vuelta
06/01/2019 12:00:18 AM;05/01/2019 09:45:26 PM;5586962;Cor 1 Naranja;L15;Vuelta
06/01/2019 12:00:20 AM;05/01/2019 11:44:23 PM;5147616;Cor 5 Amarillo;L50;Ida
06/01/2019 12:00:24 AM;05/01/2019 10:40:03 PM;5610124;Cor 1 Naranja;L11;Vuelta
06/01/2019 12:00:24 AM;05/01/2019 11:48:34 PM;5887205;Cor 5 Amarillo;L54;Ida
06/01/2019 12:00:24 AM;05/01/2019 11:44:23 PM;5865621;Cor 5 Amarillo;L50;Ida
06/01/2019 12:00:27 AM;05/01/2019 11:48:34 PM;5887205;Cor 5 Amarillo;L54;Ida
06/01/2019 12:00:33 AM;05/01/2019 11:35:05 PM;3035004;Cor 3 Rojo;L31;Ida
06/01/2019 12:00:36 AM;05/01/2019 11:44:23 PM;5865621;Cor 5 Amarillo;L50;Ida
06/01/2019 12:00:37 AM;05/01/2019 11:09:09 PM;3143700;Cor 4 Amarillo;L41;Vuelta
06/01/2019 12:00:39 AM;05/01/2019 11:44:23 PM;5865621;Cor 5 Amarillo;L50;Ida
06/01/2019 12:00:43 AM;05/01/2019 11:51:28 PM;3522460;Cor 1 Naranja;L10;Ida
06/01/2019 12:00:44 AM;05/01/2019 11:44:23 PM;3598522;Cor 5 Amarillo;L50;Ida
06/01/2019 12:00:45 AM;05/01/2019 11:51:28 PM;3522460;Cor 1 Naranja;L10;Ida
06/01/2019 12:00:49 AM;05/01/2019 11:51:28 PM;4516411;Cor 1 Naranja;L10;Ida
06/01/2019 12:00:50 AM;05/01/2019 11:36:45 PM;5450301;Cor 4 Amarillo;L42;Ida
06/01/2019 12:00:52 AM;05/01/2019 11:36:45 PM;5450301;Cor 4 Amarillo;L42;Ida
06/01/2019 12:00:55 AM;05/01/2019 11:36:45 PM;5680416;Cor 4 Amarillo;L42;Ida
06/01/2019 12:00:56 AM;05/01/2019 10:50:12 PM;8092155;Cor 3 Rojo;L31;Vuelta
06/01/2019 12:00:57 AM;05/01/2019 11:36:45 PM;5309906;Cor 4 Amarillo;L42;Ida
06/01/2019 12:01:05 AM;05/01/2019 10:07:17 PM;4403591;Cor 1 Naranja;L14;Vuelta
06/01/2019 12:01:10 AM;05/01/2019 11:23:44 PM;3625830;Cor 3 Rojo;L35;Ida
06/01/2019 12:01:12 AM;05/01/2019 11:23:44 PM;5930220;Cor 3 Rojo;L35;Ida
06/01/2019 12:01:13 AM;05/01/2019 10:42:44 PM;5301622;Cor 7 Azul;L72;Vuelta
06/01/2019 12:01:15 AM;05/01/2019 10:07:17 PM;3764799;Cor 1 Naranja;L14;Vuelta
06/01/2019 12:01:19 AM;05/01/2019 11:23:44 PM;3845891;Cor 3 Rojo;L35;Ida
06/01/2019 12:01:20 AM;06/01/2019 12:00:23 AM;2526400;TROLE;A;Ida
06/01/2019 12:01:23 AM;05/01/2019 11:33:02 PM;3858251;Cor 6 Naranja;L65;Ida
06/01/2019 12:01:24 AM;05/01/2019 10:16:31 PM;3148767;Cor 1 Naranja;L12;Vuelta
06/01/2019 12:01:25 AM;05/01/2019 11:23:44 PM;3845891;Cor 3 Rojo;L35;Ida
06/01/2019 12:01:27 AM;05/01/2019 10:05:37 PM;5300622;Cor 3 Rojo;L32;Vuelta
06/01/2019 12:01:28 AM;05/01/2019 11:23:44 PM;3845891;Cor 3 Rojo;L35;Ida
06/01/2019 12:01:31 AM;05/01/2019 10:07:17 PM;3764799;Cor 1 Naranja;L14;Vuelta
06/01/2019 12:01:35 AM;05/01/2019 11:45:44 PM;5165333;Cor 2 Azul;L26;Ida
06/01/2019 12:01:39 AM;05/01/2019 11:04:31 PM;4917488;Cor 1 Naranja;L16;Vuelta
06/01/2019 12:01:40 AM;05/01/2019 10:42:44 PM;5580077;Cor 5 Amarillo;L50;Vuelta
06/01/2019 12:01:40 AM;05/01/2019 10:25:43 PM;8001711;Cor 3 Rojo;L30;Vuelta
06/01/2019 12:01:42 AM;05/01/2019 11:51:28 PM;8019963;Cor 1 Naranja;L10;Ida
06/01/2019 12:01:44 AM;05/01/2019 10:42:44 PM;8006807;Cor 5 Amarillo;L50;Vuelta
06/01/2019 12:01:52 AM;05/01/2019 11:30:27 PM;5332694;TROLE;C;Ida
06/01/2019 12:01:52 AM;05/01/2019 11:56:17 PM;3853900;Cor 3 Rojo;L30;Ida
06/01/2019 12:01:53 AM;05/01/2019 09:52:37 PM;2495223;Cor 1 Naranja;L10;Vuelta
06/01/2019 12:01:56 AM;05/01/2019 11:56:17 PM;3853900;Cor 3 Rojo;L30;Ida
06/01/2019 12:01:58 AM;05/01/2019 10:50:12 PM;8001649;Cor 3 Rojo;L31;Vuelta
06/01/2019 12:02:01 AM;05/01/2019 10:15:24 PM;5551361;Cor 1 Naranja;L19;Vuelta
06/01/2019 12:02:15 AM;05/01/2019 11:23:57 PM;5382957;Cor 5 Amarillo;L51;Vuelta
06/01/2019 12:02:15 AM;05/01/2019 11:30:27 PM;5112991;Cor 3 Rojo;L36;Ida
06/01/2019 12:02:18 AM;05/01/2019 11:30:27 PM;5815054;Cor 3 Rojo;L36;Ida
06/01/2019 12:02:19 AM;05/01/2019 11:41:44 PM;5085371;Cor 2 Azul;L28;Ida
06/01/2019 12:02:19 AM;05/01/2019 11:33:33 PM;5597145;Cor 5 Amarillo;L53;Ida
06/01/2019 12:02:20 AM;05/01/2019 11:37:07 PM;5229147;Cor 4 Amarillo;L41;Ida
06/01/2019 12:02:21 AM;05/01/2019 11:20:45 PM;5880056;TROLE;A;Vuelta
06/01/2019 12:02:23 AM;05/01/2019 11:55:06 PM;5529817;Cor 1 Naranja;L17;Ida
06/01/2019 12:02:23 AM;05/01/2019 11:20:45 PM;5880056;TROLE;A;Vuelta
06/01/2019 12:02:24 AM;05/01/2019 11:23:57 PM;5673366;Cor 5 Amarillo;L51;Vuelta
06/01/2019 12:02:27 AM;05/01/2019 11:48:34 PM;4596050;Cor 5 Amarillo;L54;Ida
06/01/2019 12:02:39 AM;05/01/2019 11:20:45 PM;5251959;TROLE;A;Vuelta
