FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
27/01/2019 12:02:27 AM;26/01/2019 11:53:10 PM;5372307;Cor 2 Azul;L24;Ida
27/01/2019 12:02:33 AM;26/01/2019 11:48:17 PM;8008639;Cor 5 Amarillo;L45;Ida
27/01/2019 12:02:34 AM;26/01/2019 11:24:44 PM;5741114;Cor 4 Amarillo;L43;Vuelta
27/01/2019 12:02:35 AM;26/01/2019 11:53:10 PM;3350260;Cor 2 Azul;L24;Ida
27/01/2019 12:02:36 AM;26/01/2019 11:24:44 PM;6199686;Cor 4 Amarillo;L43;Vuelta
27/01/2019 12:02:36 AM;26/01/2019 11:56:24 PM;3457304;Cor 1 Naranja;L10;Ida
27/01/2019 12:02:37 AM;26/01/2019 11:00:43 PM;6046580;Cor 3 Rojo;L30;Vuelta
27/01/2019 12:02:37 AM;26/01/2019 11:53:10 PM;3350260;Cor 2 Azul;L24;Ida
27/01/2019 12:02:38 AM;26/01/2019 11:10:11 PM;4045547;Cor 1 Naranja;L15;Ida
27/01/2019 12:02:40 AM;26/01/2019 10:00:09 PM;4129047;Cor 1 Naranja;L11;Vuelta
27/01/2019 12:02:41 AM;26/01/2019 11:10:11 PM;8088805;Cor 1 Naranja;L15;Ida
27/01/2019 12:02:42 AM;26/01/2019 10:00:09 PM;6185875;Cor 1 Naranja;L11;Vuelta
27/01/2019 12:02:45 AM;26/01/2019 11:41:48 PM;2823207;Cor 5 Amarillo;L50;Ida
27/01/2019 12:02:47 AM;26/01/2019 11:41:48 PM;3369873;Cor 5 Amarillo;L50;Ida
27/01/2019 12:02:47 AM;26/01/2019 11:47:24 PM;5227365;Cor 6 Naranja;L60;Ida
27/01/2019 12:02:48 AM;26/01/2019 11:25:48 PM;5740036;Cor 7 Azul;L72;Ida
27/01/2019 12:02:50 AM;26/01/2019 11:00:13 PM;5281848;TROLE;C;Vuelta
27/01/2019 12:02:51 AM;26/01/2019 11:41:48 PM;3369873;Cor 5 Amarillo;L50;Ida
27/01/2019 12:02:56 AM;26/01/2019 11:16:38 PM;5171968;Cor 6 Naranja;L68;Vuelta
27/01/2019 12:03:02 AM;26/01/2019 11:16:38 PM;5171968;Cor 6 Naranja;L68;Vuelta
27/01/2019 12:03:04 AM;26/01/2019 11:41:48 PM;5015874;Cor 5 Amarillo;L50;Ida
27/01/2019 12:03:07 AM;26/01/2019 11:41:48 PM;4658417;Cor 5 Amarillo;L50;Ida
27/01/2019 12:03:10 AM;26/01/2019 11:41:48 PM;5077462;Cor 5 Amarillo;L50;Ida
27/01/2019 12:03:14 AM;26/01/2019 10:26:23 PM;5430047;Cor 3 Rojo;L35;Vuelta
27/01/2019 12:03:14 AM;26/01/2019 11:41:48 PM;5314887;Cor 5 Amarillo;L50;Ida
27/01/2019 12:03:15 AM;26/01/2019 11:41:48 PM;3720371;Cor 5 Amarillo;L50;Ida
27/01/2019 12:03:22 AM;26/01/2019 10:57:30 PM;4303975;Cor 7 Azul;L71;Vuelta
27/01/2019 12:03:23 AM;26/01/2019 10:45:02 PM;8085185;Cor 3 Rojo;L36;Ida
27/01/2019 12:03:24 AM;26/01/2019 10:57:30 PM;4303975;Cor 7 Azul;L71;Vuelta
27/01/2019 12:03:24 AM;26/01/2019 11:58:30 PM;5988643;Cor 6 Naranja;L68;Ida
27/01/2019 12:03:27 AM;26/01/2019 10:28:26 PM;5005967;Cor 1 Naranja;L18;Vuelta
27/01/2019 12:03:29 AM;26/01/2019 10:56:19 PM;5283422;Cor 8 Rojo;L80;Vuelta
27/01/2019 12:03:29 AM;26/01/2019 11:58:30 PM;4821530;Cor 6 Naranja;L68;Ida
27/01/2019 12:03:30 AM;26/01/2019 11:00:13 PM;5697216;TROLE;C;Vuelta
27/01/2019 12:03:32 AM;26/01/2019 10:37:13 PM;3911657;Cor 2 Azul;L25;Vuelta
27/01/2019 12:03:34 AM;26/01/2019 11:43:36 PM;5166796;Cor 1 Naranja;L19;Ida
27/01/2019 12:03:35 AM;26/01/2019 11:32:06 PM;3461997;Cor 7 Azul;L74;Ida
27/01/2019 12:03:36 AM;27/01/2019 12:01:36 AM;4458222;TROLE;B;Ida
27/01/2019 12:03:36 AM;26/01/2019 11:43:36 PM;5166796;Cor 1 Naranja;L19;Ida
27/01/2019 12:03:37 AM;26/01/2019 11:35:40 PM;4805738;Cor 4 Amarillo;L40;Ida
27/01/2019 12:03:37 AM;26/01/2019 11:12:28 PM;8079955;Cor 5 Amarillo;L45;Vuelta
27/01/2019 12:03:39 AM;26/01/2019 11:35:40 PM;4805738;Cor 4 Amarillo;L40;Ida
27/01/2019 12:03:40 AM;26/01/2019 11:35:40 PM;4805738;Cor 4 Amarillo;L40;Ida
27/01/2019 12:03:41 AM;26/01/2019 09:30:38 PM;5697066;Cor 3 Rojo;L36;Vuelta
27/01/2019 12:03:42 AM;26/01/2019 11:35:40 PM;4805738;Cor 4 Amarillo;L40;Ida
27/01/2019 12:03:43 AM;26/01/2019 10:28:10 PM;5019177;Cor 7 Azul;L70;Vuelta
27/01/2019 12:03:43 AM;26/01/2019 11:12:28 PM;4421406;Cor 5 Amarillo;L45;Vuelta
27/01/2019 12:03:45 AM;26/01/2019 11:12:28 PM;4421406;Cor 5 Amarillo;L45;Vuelta
27/01/2019 12:03:45 AM;26/01/2019 11:33:05 PM;6007215;Cor 1 Naranja;L10;Ida
27/01/2019 12:03:47 AM;26/01/2019 11:54:22 PM;8000767;Cor 6 Naranja;L60;Ida
27/01/2019 12:03:48 AM;26/01/2019 11:54:22 PM;8000767;Cor 6 Naranja;L60;Ida
27/01/2019 12:03:48 AM;26/01/2019 11:33:05 PM;4460687;Cor 1 Naranja;L10;Ida
27/01/2019 12:03:50 AM;26/01/2019 11:54:22 PM;8000767;Cor 6 Naranja;L60;Ida
27/01/2019 12:03:50 AM;26/01/2019 11:33:05 PM;4111324;Cor 1 Naranja;L10;Ida
27/01/2019 12:03:53 AM;26/01/2019 11:54:22 PM;8000767;Cor 6 Naranja;L60;Ida
27/01/2019 12:03:54 AM;26/01/2019 11:48:17 PM;4227664;Cor 5 Amarillo;L45;Ida
27/01/2019 12:03:56 AM;26/01/2019 11:33:59 PM;5220563;Cor 6 Naranja;L66;Ida
27/01/2019 12:03:57 AM;26/01/2019 11:35:40 PM;3872077;Cor 4 Amarillo;L40;Ida
27/01/2019 12:03:59 AM;26/01/2019 11:35:40 PM;3872077;Cor 4 Amarillo;L40;Ida
27/01/2019 12:04:01 AM;26/01/2019 11:33:59 PM;3568614;Cor 6 Naranja;L66;Ida
27/01/2019 12:04:05 AM;26/01/2019 11:35:40 PM;4967522;Cor 4 Amarillo;L40;Ida
27/01/2019 12:04:07 AM;26/01/2019 11:57:45 PM;3677180;Cor 4 Amarillo;L43;Ida
27/01/2019 12:04:07 AM;26/01/2019 11:40:09 PM;5399880;Cor 2 Azul;L22;Ida
27/01/2019 12:04:09 AM;26/01/2019 11:00:43 PM;5930079;Cor 3 Rojo;L30;Vuelta
27/01/2019 12:04:10 AM;26/01/2019 11:57:45 PM;3677180;Cor 4 Amarillo;L43;Ida
27/01/2019 12:04:11 AM;26/01/2019 11:00:43 PM;2845699;Cor 3 Rojo;L30;Vuelta
27/01/2019 12:04:14 AM;26/01/2019 11:56:24 PM;5993707;Cor 1 Naranja;L10;Ida
27/01/2019 12:04:14 AM;26/01/2019 11:00:43 PM;2845699;Cor 3 Rojo;L30;Vuelta
27/01/2019 12:04:14 AM;26/01/2019 11:54:22 PM;5274470;Cor 8 Rojo;L82;Ida
27/01/2019 12:04:15 AM;26/01/2019 10:41:31 PM;5138791;Cor 6 Naranja;L65;Vuelta
27/01/2019 12:04:17 AM;26/01/2019 10:41:31 PM;4330747;Cor 6 Naranja;L65;Vuelta
27/01/2019 12:04:20 AM;26/01/2019 11:53:10 PM;4112431;Cor 2 Azul;L24;Ida
27/01/2019 12:04:23 AM;26/01/2019 10:21:01 PM;5053658;Cor 6 Naranja;L62;Vuelta
